السنة,الربع ,المنطقة ,النشاط الاقتصادي ,عدد المنشآت متناهية الصغر ,عدد المنشآت الصغيرة ,عدد المنشآت المتوسطة ,عدد المنشآت الكبيرة ,عدد المنشآت 
2022,1,مكتب منطقة جازان,أنشطة الأمن والتحقيقات,7,1,0,0,8
2022,1,مكتب منطقة جازان,أنشطة الاستخدام,22,2,0,0,24
2022,1,مكتب منطقة جازان,أنشطة الاسر المعيشية التي تستخدم أفراداً للعمل المنزلي,6,0,0,0,6
2022,1,مكتب منطقة جازان,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,14,0,0,0,14
2022,1,مكتب منطقة جازان,أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,1,0,0,0,1
2022,1,مكتب منطقة جازان,أنشطة التشييد المتخصصة,1451,150,6,0,1607
2022,1,مكتب منطقة جازان,أنشطة الخدمات الشخصية الأخرى,1369,77,0,0,1446
2022,1,مكتب منطقة جازان,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,26,6,0,0,32
2022,1,مكتب منطقة جازان,أنشطة العمل الاجتماعي، دون إقامة، لكبار السن وذوي الإعاقة,32,29,2,0,63
2022,1,مكتب منطقة جازان,أنشطة المعالجة وخدمات إدارة النفايات الأخرى,1,0,0,0,1
2022,1,مكتب منطقة جازان,أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل,72,22,2,0,96
2022,1,مكتب منطقة جازان,أنشطة المكاتب الرئيسية ، وألأنشطة الاستشارية في مجال الإدارة,28,4,0,0,32
2022,1,مكتب منطقة جازان,أنشطة المكتبات ودور المحفوظات، والمتاحف والأنشطة الثقافية الأخرى,23,10,1,0,34
2022,1,مكتب منطقة جازان,أنشطة المنظمات ذات العضوية,32,5,0,0,37
2022,1,مكتب منطقة جازان,أنشطة النشر,19,2,0,0,21
2022,1,مكتب منطقة جازان,أنشطة تقديم الخدمات للمباني وتجميل المواقع,412,77,2,0,491
2022,1,مكتب منطقة جازان,أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,1,0,0,0,1
2022,1,مكتب منطقة جازان,أنشطة خدمات الأطعمة والمشروبات,3588,558,18,0,4164
2022,1,مكتب منطقة جازان,أنشطة خدمات المعلومات,14,2,0,0,16
2022,1,مكتب منطقة جازان,أنشطة خدمات دعم التعدين,10,4,0,0,14
2022,1,مكتب منطقة جازان,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,583,31,1,0,615
2022,1,مكتب منطقة جازان,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,20,6,0,0,26
2022,1,مكتب منطقة جازان,الإقامة,219,48,5,0,272
2022,1,مكتب منطقة جازان,الأنشطة الإبداعية والفنون وأنشطة الترفيه,3,0,0,0,3
2022,1,مكتب منطقة جازان,الأنشطة الأخرى للتعدين واستغلال المحاجر,13,5,0,0,18
2022,1,مكتب منطقة جازان,الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال,48,2,0,0,50
2022,1,مكتب منطقة جازان,الأنشطة الإيجارية,1250,27,1,0,1278
2022,1,مكتب منطقة جازان,الأنشطة البيطرية,7,5,0,0,12
2022,1,مكتب منطقة جازان,الأنشطة الرياضية وأنشطة التسلية والترفيه,50,8,1,0,59
2022,1,مكتب منطقة جازان,الأنشطة العقارية,78,11,0,2,91
2022,1,مكتب منطقة جازان,الأنشطة القانونية وأنشطة المحاسبة,15,3,0,0,18
2022,1,مكتب منطقة جازان,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,1,0,0,0,1
2022,1,مكتب منطقة جازان,الأنشطة المهنية والعلمية والتقنية الأخرى,29,2,0,0,31
2022,1,مكتب منطقة جازان,الأنشطة غير المتميزة لإنتاج السلع والخدمات التي تقوم بها الأسر المعيشية الخاصة لإستعمالها الخاص,1,0,0,0,1
2022,1,مكتب منطقة جازان,الاتصالات,21,3,0,0,24
2022,1,مكتب منطقة جازان,البحث والتطوير في المجال العلمي,1,0,0,0,1
2022,1,مكتب منطقة جازان,التخزين وأنشطة الدعم للنقل,83,16,3,1,103
2022,1,مكتب منطقة جازان,التعليم,45,33,4,0,82
2022,1,مكتب منطقة جازان,الحراجة وقطع الأخشاب,1,1,0,0,2
2022,1,مكتب منطقة جازان,الرعاية مع الإقامة,9,3,0,0,12
2022,1,مكتب منطقة جازان,الصحة البشرية,46,71,12,2,131
2022,1,مكتب منطقة جازان,الصرف الصحي,1,2,0,0,3
2022,1,مكتب منطقة جازان,الصناعة التحويلية الأخرى,16,8,0,0,24
2022,1,مكتب منطقة جازان,الطباعة واستنساخ وسائط الأعلام المسجّلة,16,4,0,0,20
2022,1,مكتب منطقة جازان,النقل البري و النقل عبر الأنابيب,368,33,2,0,403
2022,1,مكتب منطقة جازان,النقل الجوي,10,1,0,0,11
2022,1,مكتب منطقة جازان,النقل المائي,4,2,1,0,7
2022,1,مكتب منطقة جازان,الهندسة المدنية,24,3,2,0,29
2022,1,مكتب منطقة جازان,تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية,4217,538,18,1,4774
2022,1,مكتب منطقة جازان,تجارة الجملة ، باستثناء المركبات ذات المحركات والدراجات النارية,1447,297,16,0,1760
2022,1,مكتب منطقة جازان,تجارة الجملة والتجزئة ، وإصلاح المركبات ذات المحركات والدراجات النارية,1622,163,5,1,1791
2022,1,مكتب منطقة جازان,تجميع المياه ومعالجتها وتوصيلها,56,6,1,1,64
2022,1,مكتب منطقة جازان,تشييد المباني,2842,428,33,1,3304
2022,1,مكتب منطقة جازان,تعدين ركازات الفلزات,24,6,0,0,30
2022,1,مكتب منطقة جازان,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,1,1,0,0,2
2022,1,مكتب منطقة جازان,توصيل الكهرباء والغاز والبخار وتكييف الهواء,14,8,1,0,23
2022,1,مكتب منطقة جازان,صناعة الآلات والمعدات غير المصنفة في موضع أخر,39,2,0,0,41
2022,1,مكتب منطقة جازان,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,84,4,0,0,88
2022,1,مكتب منطقة جازان,صناعة معدات النقل الأخرى,13,3,0,0,16
2022,1,مكتب منطقة جازان,صنع الأثاث,216,12,0,0,228
2022,1,مكتب منطقة جازان,صنع الحواسيب والمنتجات الإلكترونية والبصرية,40,8,0,0,48
2022,1,مكتب منطقة جازان,صُنع الخشب ومنتجات الخشب والفلين ، باستثناء الأثاث ، صُنع أصناف من القش ومواد الضفر,170,15,0,0,185
2022,1,مكتب منطقة جازان,صنع الفلزات القاعدية,61,12,1,2,76
2022,1,مكتب منطقة جازان,صُنع المشروبات,17,5,3,1,26
2022,1,مكتب منطقة جازان,صنع المعدات الكهربائية,74,5,0,0,79
2022,1,مكتب منطقة جازان,صُنع الملبوسات,442,40,0,0,482
2022,1,مكتب منطقة جازان,صُنع المنتجات الجلدية والمنتجات ذات الصلة,54,1,0,0,55
2022,1,مكتب منطقة جازان,صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,6,1,0,0,7
2022,1,مكتب منطقة جازان,صُنع المنتجات الغذائية,303,73,5,0,381
2022,1,مكتب منطقة جازان,صُنع المنسوجات,14,4,0,0,18
2022,1,مكتب منطقة جازان,صُنع المواد الكيميائية والمنتجات الكيميائية,38,9,2,0,49
2022,1,مكتب منطقة جازان,صُنع الورق ومنتجات الورق,3,1,1,0,5
2022,1,مكتب منطقة جازان,صنع فحم الكوك والمنتجات النفطية المكررة,2,0,0,0,2
2022,1,مكتب منطقة جازان,صُنع منتجات التبغ,0,1,0,0,1
2022,1,مكتب منطقة جازان,صنع منتجات المطاط واللدائن,11,8,1,0,20
2022,1,مكتب منطقة جازان,صنع منتجات المعادن اللافلزية الأخرى,132,44,14,1,191
2022,1,مكتب منطقة جازان,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),501,17,1,0,519
2022,1,مكتب منطقة جازان,صيد الأسماك وتربية المائيات,156,65,4,0,225
2022,1,مكتب منطقة جازان,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,22,3,0,0,25
2022,1,مكتب منطقة حائل,أبحاث الإعلان والسوق,27,5,0,0,32
2022,1,مكتب منطقة حائل,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,152,13,0,0,165
2022,1,مكتب منطقة حائل,إصلاح وتركيب الآلات والمعدات,34,2,0,0,36
2022,1,مكتب منطقة حائل,أنشطة أنتاج الأفلام والبرامج التلفزيونية والتسجيلات الصوتية و نشرالموسيقى,7,0,0,0,7
2022,1,مكتب منطقة حائل,أنشطة الأمن والتحقيقات,6,1,0,0,7
2022,1,مكتب منطقة حائل,أنشطة الاستخدام,12,3,0,0,15
2022,1,مكتب منطقة حائل,أنشطة الاسر المعيشية التي تستخدم أفراداً للعمل المنزلي,1,0,0,0,1
2022,1,مكتب منطقة حائل,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,5,4,0,0,9
2022,1,مكتب منطقة حائل,أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,2,1,0,0,3
2022,1,مكتب منطقة حائل,أنشطة التشييد المتخصصة,1253,170,2,0,1425
2022,1,مكتب منطقة حائل,أنشطة الخدمات الشخصية الأخرى,810,70,1,0,881
2022,1,مكتب منطقة حائل,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,24,3,0,0,27
2022,1,مكتب منطقة حائل,أنشطة العمل الاجتماعي، دون إقامة، لكبار السن وذوي الإعاقة,44,18,0,0,62
2022,1,مكتب منطقة حائل,أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل,73,18,1,0,92
2022,1,مكتب منطقة حائل,أنشطة المكاتب الرئيسية ، وألأنشطة الاستشارية في مجال الإدارة,22,2,0,0,24
2022,1,مكتب منطقة حائل,أنشطة المكتبات ودور المحفوظات، والمتاحف والأنشطة الثقافية الأخرى,7,2,0,0,9
2022,1,مكتب منطقة حائل,أنشطة المنظمات ذات العضوية,29,4,0,0,33
2022,1,مكتب منطقة حائل,أنشطة النشر,38,1,0,0,39
2022,1,مكتب منطقة حائل,أنشطة تقديم الخدمات للمباني وتجميل المواقع,365,53,8,1,427
2022,1,مكتب منطقة حائل,أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,2,1,0,0,3
2022,1,مكتب منطقة حائل,أنشطة خدمات الأطعمة والمشروبات,1834,292,19,1,2146
2022,1,مكتب منطقة حائل,أنشطة خدمات المعلومات,8,1,0,0,9
2022,1,مكتب منطقة حائل,أنشطة خدمات دعم التعدين,8,3,0,0,11
2022,1,مكتب منطقة حائل,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,1488,56,6,1,1551
2022,1,مكتب منطقة حائل,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,16,7,0,0,23
2022,1,مكتب منطقة حائل,الإقامة,75,20,1,0,96
2022,1,مكتب منطقة حائل,الأنشطة الإبداعية والفنون وأنشطة الترفيه,2,1,0,0,3
2022,1,مكتب منطقة حائل,الأنشطة الأخرى للتعدين واستغلال المحاجر,31,4,0,0,35
2022,1,مكتب منطقة حائل,الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال,67,4,0,0,71
2022,1,مكتب منطقة حائل,الأنشطة الإيجارية,918,41,0,0,959
2022,1,مكتب منطقة حائل,الأنشطة البيطرية,4,0,0,0,4
2022,1,مكتب منطقة حائل,الأنشطة الرياضية وأنشطة التسلية والترفيه,51,19,0,0,70
2022,1,مكتب منطقة حائل,الأنشطة العقارية,75,7,0,0,82
2022,1,مكتب منطقة حائل,الأنشطة القانونية وأنشطة المحاسبة,10,3,0,0,13
2022,1,مكتب منطقة حائل,الأنشطة المهنية والعلمية والتقنية الأخرى,17,0,1,0,18
2022,1,مكتب منطقة حائل,الاتصالات,28,2,0,0,30
2022,1,مكتب منطقة حائل,التخزين وأنشطة الدعم للنقل,66,17,0,0,83
2022,1,مكتب منطقة حائل,التعليم,31,28,4,0,63
2022,1,مكتب منطقة حائل,الحراجة وقطع الأخشاب,2,0,0,0,2
2022,1,مكتب منطقة حائل,الرعاية مع الإقامة,11,3,0,0,14
2022,1,مكتب منطقة حائل,الصحة البشرية,43,62,16,2,123
2022,1,مكتب منطقة حائل,الصرف الصحي,2,0,0,0,2
2022,1,مكتب منطقة حائل,الصناعة التحويلية الأخرى,11,2,0,0,13
2022,1,مكتب منطقة حائل,الطباعة واستنساخ وسائط الأعلام المسجّلة,41,7,0,0,48
2022,1,مكتب منطقة حائل,النقل البري و النقل عبر الأنابيب,567,36,2,0,605
2022,1,مكتب منطقة حائل,النقل الجوي,22,5,0,0,27
2022,1,مكتب منطقة حائل,النقل المائي,3,0,0,0,3
2022,1,مكتب منطقة حائل,الهندسة المدنية,16,8,3,0,27
2022,1,مكتب منطقة حائل,تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية,1836,291,14,0,2141
2022,1,مكتب منطقة حائل,تجارة الجملة ، باستثناء المركبات ذات المحركات والدراجات النارية,502,100,9,2,613
2022,1,مكتب منطقة حائل,تجارة الجملة والتجزئة ، وإصلاح المركبات ذات المحركات والدراجات النارية,848,159,2,0,1009
2022,1,مكتب منطقة حائل,تجميع المياه ومعالجتها وتوصيلها,20,2,1,0,23
2022,1,مكتب منطقة حائل,تشييد المباني,2972,560,56,8,3596
2022,1,مكتب منطقة حائل,تعدين الفحم والليغنيت,4,0,0,0,4
2022,1,مكتب منطقة حائل,تعدين ركازات الفلزات,5,0,0,0,5
2022,1,مكتب منطقة حائل,توصيل الكهرباء والغاز والبخار وتكييف الهواء,14,5,2,0,21
2022,1,مكتب منطقة حائل,صناعة الآلات والمعدات غير المصنفة في موضع أخر,24,3,0,0,27
2022,1,مكتب منطقة حائل,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,38,2,0,0,40
2022,1,مكتب منطقة حائل,صناعة معدات النقل الأخرى,8,0,0,0,8
2022,1,مكتب منطقة حائل,صنع الأثاث,143,20,0,0,163
